id,movie_id,time,url,img,title,uid,type,count,comment,createtm,lastupdatetm,advance,info,subject_type,user_id,deleted,content_id
389298,42964,50,http://maoyan.meituan.net/movie/videos/854x480afbcbe52ce5443d6a705fb3e5b0d1cff.mp4,http://p0.meituan.net/movie/4a355d70baa364ddc7f1e1fb7c6602d737933.jpg,毒液：致命守护者 片段1 (中文字幕),999,4,5,0,2020-04-17 03:03:19,2020-04-17 03:03:19,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480afbcbe52ce5443d6a705fb3e5b0d1cff.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320afbcbe52ce5443d6a705fb3e5b0d1cff.mp4"",""seq"":0}",0,0,0,810048
389299,1238399,109,http://maoyan.meituan.net/movie/videos/854x48042e8733ed3194dffb6a7d225be50c022.mp4,http://p0.meituan.net/movie/4fcf81b77c78ed814a05a923d85867c234674.jpg,徒手攀岩 其它花絮3：口碑特辑 (中文字幕),999,2,0,0,2020-04-17 03:03:23,2020-04-17 03:03:23,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x48042e8733ed3194dffb6a7d225be50c022.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x32042e8733ed3194dffb6a7d225be50c022.mp4"",""seq"":0}",0,0,0,732933
389300,367776,89,http://maoyan.meituan.net/movie/videos/854x480145669d0cf5944e5a4fcbd7278e6d636.mp4,http://p0.meituan.net/movie/f130a37f745479958dff8a4f230728be25557.jpg,银湖之底 片段2,999,4,0,0,2020-04-17 03:03:49,2020-04-17 03:03:49,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480145669d0cf5944e5a4fcbd7278e6d636.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320145669d0cf5944e5a4fcbd7278e6d636.mp4"",""seq"":0}",0,0,0,810049
389301,344328,30,http://maoyan.meituan.net/movie/videos/854x480958ba1c5d5f449de872ad857c072f38f.mp4,http://p0.meituan.net/movie/981ca8218391c14f6530aaca6f00e56128514.jpg,X战警：黑凤凰 电视版17 (中文字幕),999,1,0,0,2020-04-17 03:04:15,2020-04-17 03:04:16,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480958ba1c5d5f449de872ad857c072f38f.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320958ba1c5d5f449de872ad857c072f38f.mp4"",""seq"":0}",0,0,0,765468
389302,344328,30,http://maoyan.meituan.net/movie/videos/854x4803013c5613e3545c7addd26110ea23f21.mp4,http://p0.meituan.net/movie/df8c5a3aa93c67f1827815c2097b858c21329.jpg,X战警：黑凤凰 电视版9 (中文字幕),999,1,0,0,2020-04-17 03:04:15,2020-04-17 03:04:16,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4803013c5613e3545c7addd26110ea23f21.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3203013c5613e3545c7addd26110ea23f21.mp4"",""seq"":0}",0,0,0,737667
389303,344328,30,http://maoyan.meituan.net/movie/videos/854x4804c4eb127f1a24ff7b8454da6391d3f81.mp4,http://p0.meituan.net/movie/688afc3a33ffd2731bafbae37611712b38411.jpg,X战警：黑凤凰 电视版8 (中文字幕),999,1,0,0,2020-04-17 03:04:16,2020-04-17 03:04:16,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4804c4eb127f1a24ff7b8454da6391d3f81.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3204c4eb127f1a24ff7b8454da6391d3f81.mp4"",""seq"":0}",0,0,0,732934
389304,1243239,97,http://maoyan.meituan.net/movie/videos/854x480c0fa14856055454dac67c1c6a9370035.mp4,http://p0.meituan.net/movie/000cfd1ecbed4e07c246f050870146fd1047.jpg,熊出没·原始时代 花絮：宋祖儿配音特辑 (中文字幕),999,2,24,0,2020-04-17 03:04:43,2020-04-17 03:04:44,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480c0fa14856055454dac67c1c6a9370035.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320c0fa14856055454dac67c1c6a9370035.mp4"",""seq"":0}",0,0,0,815053
389305,1218191,15,http://maoyan.meituan.net/movie/videos/854x4801ec232d03f804f2285360ea0f6c7246d.mp4,http://p1.meituan.net/movie/7873772f628e19eefe87740b2d58990a17506.jpg,朱迪 电视版2,999,1,0,0,2020-04-17 03:05:01,2020-04-17 03:05:01,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4801ec232d03f804f2285360ea0f6c7246d.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3201ec232d03f804f2285360ea0f6c7246d.mp4"",""seq"":0}",0,0,0,747388
389306,672382,48,http://maoyan.meituan.net/movie/videos/854x48085b56f67462045eca43fc40c09008e47.mp4,http://p1.meituan.net/movie/cfde51b4672f3cf3642fc6b4426cf30c28916.jpg,虎胆追凶 中国预告片3：持枪出击版 (中文字幕),999,1,0,0,2020-04-17 03:05:29,2020-04-17 03:05:29,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x48085b56f67462045eca43fc40c09008e47.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x32085b56f67462045eca43fc40c09008e47.mp4"",""seq"":0}",0,0,0,765469
389307,1218190,117,http://maoyan.meituan.net/movie/videos/854x4806c9bc7f263f2468fbe7ab6a9f4170642.mp4,http://p0.meituan.net/movie/6556704d4470cc95d89072eecca6e8a914318.jpg,大师兄 其它花絮2：口碑特辑 (中文字幕),999,2,0,0,2020-04-17 03:05:40,2020-04-17 03:05:40,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4806c9bc7f263f2468fbe7ab6a9f4170642.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3206c9bc7f263f2468fbe7ab6a9f4170642.mp4"",""seq"":0}",0,0,0,765470
